Date,07/02/2020,Material,Brass,6min heating,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
43343,300.34,285.9,284.9,283.34,283.21,283.53,283.21,286.03
43481,300.46,285.9,284.9,283.34,283.21,283.53,283.21,286.03
43618,300.52,285.96,284.9,283.34,283.21,283.53,283.21,286.03
43755,300.52,285.96,284.9,283.34,283.21,283.59,283.21,286.03
43893,300.65,285.9,284.9,283.34,283.21,283.59,283.21,286.03
44030,300.65,285.96,284.9,283.34,283.21,283.53,283.21,286.03
44168,300.77,285.96,284.9,283.4,283.21,283.53,283.21,285.96
44305,300.77,285.96,284.9,283.4,283.21,283.53,283.21,285.96
44442,300.84,285.96,284.9,283.34,283.21,283.53,283.21,285.96
44579,300.84,285.96,284.9,283.34,283.21,283.53,283.28,285.96
44717,300.9,285.96,284.9,283.34,283.15,283.53,283.28,285.96
44855,301.02,286.03,284.9,283.34,283.15,283.53,283.21,286.03
44992,301.02,285.96,284.9,283.34,283.15,283.53,283.21,286.03
45129,301.09,285.96,284.9,283.34,283.15,283.53,283.21,286.03
45266,301.09,286.03,284.9,283.34,283.15,283.53,283.21,286.03
45404,301.21,286.03,284.9,283.34,283.15,283.53,283.21,286.03
45541,301.21,285.96,284.9,283.34,283.21,283.53,283.21,285.96
45678,301.34,286.03,284.9,283.28,283.21,283.53,283.21,285.96
45816,301.4,286.03,284.9,283.28,283.21,283.53,283.21,285.96
45954,301.4,286.03,284.9,283.28,283.15,283.53,283.21,285.96
46091,301.46,286.03,284.9,283.28,283.15,283.53,283.28,286.03
46228,301.46,286.09,284.9,283.28,283.21,283.46,283.28,286.03
46365,301.59,286.09,284.9,283.28,283.21,283.46,283.21,285.96
46502,301.59,286.09,284.9,283.28,283.15,283.46,283.21,285.96
46641,301.71,286.03,284.9,283.28,283.15,283.46,283.28,285.96
46778,301.77,286.03,284.9,283.4,283.15,283.46,283.28,285.96
46915,301.77,286.09,284.9,283.28,283.15,283.53,283.21,285.96
47052,301.9,286.09,284.9,283.28,283.15,283.53,283.21,285.96
47190,301.9,286.09,284.9,283.28,283.15,283.53,283.21,285.96
47327,302.02,286.09,284.9,283.28,283.15,283.53,283.21,285.96
47464,302.02,286.15,284.9,283.34,283.15,283.46,283.21,285.96
47602,302.15,286.15,284.9,283.34,283.15,283.46,283.21,285.96
47739,302.21,286.15,284.9,283.34,283.15,283.53,283.21,286.03
47877,302.21,286.15,284.9,283.34,283.15,283.46,283.21,286.03
48014,302.34,286.15,284.9,283.34,283.21,283.46,283.21,285.9
48151,302.34,286.15,284.96,283.34,283.21,283.53,283.21,285.9
48288,302.46,286.15,284.9,283.34,283.15,283.53,283.21,285.96
48425,302.46,286.15,284.9,283.34,283.15,283.46,283.21,285.9
48564,302.65,286.28,284.9,283.28,283.15,283.46,283.28,285.9
48701,302.65,286.28,284.9,283.28,283.21,283.46,283.28,285.96
48838,302.84,286.21,284.96,283.34,283.21,283.46,283.21,285.96
48975,302.96,286.21,284.96,283.34,283.15,283.53,283.21,285.9
49113,302.96,286.21,284.9,283.34,283.15,283.46,283.21,285.9
49250,303.02,286.28,284.96,283.34,283.15,283.46,283.21,285.9
49388,303.02,286.28,284.96,283.34,283.15,283.53,283.21,285.9
49525,303.21,286.28,284.9,283.34,283.21,283.53,283.21,285.9
49662,303.21,286.28,284.9,283.34,283.15,283.53,283.21,285.9
49800,303.27,286.34,284.96,283.34,283.15,283.53,283.21,285.9
49937,303.46,286.28,284.9,283.34,283.15,283.46,283.21,285.9
50074,303.46,286.28,284.9,283.28,283.15,283.46,283.21,285.9
50211,303.52,286.34,284.96,283.28,283.15,283.46,283.21,285.9
50350,303.52,286.34,284.96,283.28,283.15,283.53,283.21,285.9
50487,303.65,286.34,284.9,283.28,283.21,283.53,283.21,285.9
50624,303.65,286.34,284.9,283.34,283.21,283.53,283.21,285.9
50761,303.77,286.34,284.96,283.34,283.15,283.53,283.21,285.9
50898,303.9,286.34,284.96,283.28,283.15,283.46,283.21,285.84
51036,303.9,286.34,284.96,283.28,283.15,283.46,283.15,285.84
51173,304.02,286.4,284.96,283.34,283.21,283.53,283.15,285.9
51311,304.02,286.4,284.96,283.34,283.21,283.46,283.21,285.9
51448,304.15,286.46,284.96,283.34,283.21,283.46,283.21,285.9
51586,304.15,286.46,284.96,283.28,283.21,283.46,283.21,285.9
51723,304.27,286.46,284.96,283.28,283.15,283.46,283.21,285.9
51860,304.27,286.46,284.9,283.28,283.15,283.46,283.21,285.96
51997,304.4,286.46,284.9,283.28,283.21,283.46,283.21,285.96
52135,304.52,286.46,284.9,283.28,283.21,283.46,283.21,285.9
52273,304.52,286.46,284.9,283.28,283.15,283.46,283.21,285.9
