time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,3.81E-05
174.5,285.8239976,287.6976724,288.6750779,288.6987047,287.9481403,286.7025221,285.4316152,,
175.87,285.8037515,287.6647018,288.6401791,288.6706156,287.9304158,286.6938823,285.4279843,,
177.24,285.7837859,287.6321332,288.6056023,288.6426532,287.9126386,286.6851098,285.4242383,,
178.62,285.7639522,287.5997257,288.5710944,288.6146155,287.894682,286.6761432,285.4203512,,
179.99,285.7445317,287.5679414,288.5371512,288.5869094,287.8768101,286.6671164,285.416382,,
181.37,285.7252353,287.536309,288.5032731,288.5591312,287.8587656,286.6579013,285.4122754,,
182.74,285.7063372,287.5052798,288.4699469,288.5316837,287.8408135,286.6486353,285.4080935,,
184.11,285.687691,287.4746165,288.436922,288.5043658,287.8228265,286.6392559,285.4038094,,
185.49,285.6691583,287.4440924,288.4039566,288.4769799,287.8046762,286.6296968,285.3993933,,
186.86,285.6510026,287.4141433,288.3715246,288.449923,287.7866288,286.6201004,285.3949117,,
188.24,285.6329536,287.3843256,288.3391486,288.4228005,287.7684241,286.61033,285.3903017,,
189.61,285.6152683,287.355065,288.3072939,288.3960057,287.7503289,286.6005306,285.3856326,,
190.99,285.5976837,287.3259282,288.2754918,288.3691476,287.7320818,286.5905627,285.3808385,,
192.36,285.58045,287.2973316,288.2441994,288.3426154,287.7139503,286.5805741,285.3759914,,
193.73,285.5634346,287.269057,288.2131818,288.3162143,287.6958047,286.5704961,285.3710593,,
195.11,285.5465113,287.2408958,288.1822117,288.2897529,287.6775154,286.5602574,285.3660076,,
196.48,285.5299212,287.2132505,288.1517347,288.2636147,287.6593497,286.5500096,285.3609117,,
197.86,285.5134179,287.1857122,288.1213022,288.2374181,287.6410452,286.5396061,285.3556996,,
199.23,285.4972366,287.1586744,288.0913519,288.2115426,287.6228695,286.5292008,285.350449,,
200.6,285.481253,287.1319316,288.0616589,288.1857979,287.6046923,286.5187215,285.3451248,,
201.98,285.4653489,287.1052865,288.032006,288.1599973,287.5863832,286.5080939,285.3396893,,
