Date,25/02/2020,Inside/Outside,19.69/5.38
Time,Temperature,,
271996,279.09,,
272248,279.15,,
272499,279.09,,
272750,279.09,,
273001,279.15,,
273253,279.09,,
273504,279.09,,
273755,279.15,,
274007,279.15,,
274257,279.09,,
274508,279.15,,
274759,279.15,,
275011,279.09,,
275262,279.09,,
275513,279.15,,
275765,279.09,,
276016,279.15,,
276267,279.09,,
276517,279.09,,
276769,279.15,,
277020,279.15,,
277271,279.09,,
277523,279.15,,
277774,279.09,,
278025,279.09,,
278276,279.09,,
278528,279.09,,
278778,279.09,,
279029,279.15,,
279281,279.09,,
279532,279.15,,
279783,279.09,,
280034,279.15,,
280286,279.15,,
280537,279.09,,
280787,279.09,,
281039,279.03,,
281290,279.09,,
281541,279.15,,
281792,279.09,,
282044,279.09,,
282295,279.09,,
282546,279.09,,
282798,279.15,,
283048,279.09,,
283299,279.09,,
283550,279.09,,
283802,279.09,,
284053,279.15,,
284304,279.09,,
284556,279.15,,
284807,279.09,,
285058,279.09,,
285308,279.09,,
285560,279.09,,
285811,279.15,,
286062,279.09,,
286314,279.09,,
286565,279.09,,
286816,279.09,,
287067,279.09,,
287319,279.09,,
287569,279.15,,
287820,279.09,,
288072,279.09,,
288323,279.09,,
288574,279.09,,
288825,279.09,,
289077,279.09,,
289328,279.09,,
289579,279.09,,
289830,279.15,,
290081,279.09,,
290332,279.03,,
290583,279.03,,
290835,279.03,,
291086,279.09,,
291337,279.09,,
291589,279.09,,
291840,279.09,,
292090,279.09,,
292341,279.03,,
292593,279.03,,
292844,279.09,,
293095,279.09,,
293347,279.09,,
293598,279.09,,
293849,279.09,,
294099,279.09,,
294351,279.09,,
294602,279.09,,
294853,279.09,,
295105,279.03,,
295356,279.03,,
295607,279.09,,
295858,279.09,,
296110,279.09,,
296360,279.09,,
296611,279.09,,
296863,279.03,,
297114,279.09,,
297365,279.09,,
297616,279.03,,
297868,279.03,,
298119,279.09,,
298370,279.09,,
298621,279.03,,
298872,279.09,,
299123,279.03,,
299374,279.09,,
299626,279.09,,
299877,279.09,,
300128,279.09,,
300380,279.03,,
300631,279.03,,
300881,279.15,,
301133,279.09,,
301384,279.09,,
301635,279.09,,
301886,279.09,,
302138,279.03,,
302389,279.09,,
302640,279.09,,
302892,279.09,,
303142,279.09,,
303393,279.09,,
303644,279.09,,
303896,279.03,,
304147,279.09,,
304398,279.09,,
304650,279.09,,
304901,279.03,,
305152,279.03,,
305402,279.03,,
305654,279.09,,
305905,279.09,,
306156,279.03,,
306408,279.09,,
306659,279.09,,
306910,279.09,,
307161,279.03,,
307412,279.09,,
307663,279.09,,
307914,279.09,,
308166,279.03,,
308417,279.09,,
