Date,24/02/2020,Inside/Outside,20.50/6.94
Time,Temperature
207201.0,280.84
207453.0,280.96
207704.0,280.84
207954.0,280.84
208205.0,280.9
208457.0,280.9
208708.0,280.84
208959.0,280.84
209211.0,280.9
209462.0,280.84
209713.0,280.84
209965.0,280.84
210215.0,280.84
210466.0,280.84
210717.0,280.84
210969.0,280.84
211220.0,280.84
211471.0,280.84
211723.0,280.84
211974.0,280.84
212225.0,280.84
212475.0,280.84
212727.0,280.84
212978.0,280.78
213229.0,280.78
213481.0,280.78
213732.0,280.78
213983.0,280.78
214234.0,280.84
214486.0,280.78
214736.0,280.78
214987.0,280.84
215239.0,280.78
215490.0,280.78
215741.0,280.78
215992.0,280.78
216244.0,280.78
216495.0,280.78
216745.0,280.78
216997.0,280.78
217248.0,280.71
217499.0,280.78
217750.0,280.78
218002.0,280.78
218253.0,280.78
218504.0,280.78
218756.0,280.78
219006.0,280.78
219257.0,280.78
219508.0,280.78
219760.0,280.71
220011.0,280.78
220262.0,280.78
220514.0,280.71
220765.0,280.71
221016.0,280.71
221267.0,280.78
221518.0,280.71
221769.0,280.71
222020.0,280.78
222272.0,280.71
222523.0,280.71
222774.0,280.71
223026.0,280.71
223277.0,280.71
223527.0,280.65
223778.0,280.65
224030.0,280.71
224281.0,280.65
224532.0,280.65
224784.0,280.71
225035.0,280.65
225286.0,280.71
225537.0,280.71
225788.0,280.71
226039.0,280.65
226290.0,280.71
226542.0,280.65
226793.0,280.65
227044.0,280.71
227295.0,280.71
227547.0,280.65
227798.0,280.65
228048.0,280.65
228300.0,280.65
228551.0,280.65
228802.0,280.65
229053.0,280.65
229305.0,280.65
229556.0,280.65
229807.0,280.65
230059.0,280.65
230309.0,280.65
230560.0,280.59
230811.0,280.65
231063.0,280.65
231314.0,280.65
231565.0,280.59
231817.0,280.65
232068.0,280.59
232318.0,280.59
232569.0,280.59
232821.0,280.59
233072.0,280.65
233323.0,280.59
233575.0,280.59
233826.0,280.59
234077.0,280.59
234329.0,280.65
234579.0,280.59
234830.0,280.65
235081.0,280.59
235333.0,280.59
235584.0,280.53
235835.0,280.59
236087.0,280.59
236338.0,280.59
236589.0,280.59
236839.0,280.59
237091.0,280.59
237342.0,280.59
237593.0,280.59
237845.0,280.53
238096.0,280.53
238347.0,280.53
238598.0,280.59
238850.0,280.59
239100.0,280.59
239351.0,280.59
239603.0,280.53
239854.0,280.53
240105.0,280.59
240356.0,280.59
240608.0,280.53
240859.0,280.53
241110.0,280.53
241361.0,280.53
241612.0,280.59
241863.0,280.53
242114.0,280.59
242366.0,280.53
242617.0,280.53
242868.0,280.53
243120.0,280.53
243371.0,280.46
243621.0,280.53
243872.0,280.53
244124.0,280.53
244375.0,280.53
244626.0,280.59
244878.0,280.53
245129.0,280.53
245380.0,280.53
245632.0,280.46
245882.0,280.53
246133.0,280.53
246384.0,280.53
246636.0,280.46
246887.0,280.53
247138.0,280.53
247390.0,280.53
247641.0,280.46
247891.0,280.53
248142.0,280.46
