Date,01/02/2020,Material,Brass,3min6s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
54470,305.53,287.53,286.09,285.59,285.34,285.28,285.09,284.78
54607,305.53,287.59,286.09,285.65,285.4,285.28,285.09,284.78
54745,305.53,287.59,286.15,285.65,285.4,285.34,285.09,284.78
54882,305.46,287.59,286.15,285.59,285.34,285.34,285.09,284.78
55019,305.53,287.65,286.09,285.59,285.34,285.34,285.09,284.78
55157,305.53,287.65,286.09,285.65,285.34,285.34,285.09,284.78
55294,305.53,287.65,286.15,285.65,285.4,285.28,285.09,284.78
55432,305.53,287.65,286.15,285.59,285.4,285.28,285.09,284.78
55569,305.53,287.65,286.15,285.59,285.34,285.34,285.09,284.71
55706,305.53,287.65,286.15,285.59,285.34,285.34,285.09,284.71
55843,305.53,287.71,286.09,285.59,285.4,285.28,285.09,284.78
55982,305.53,287.71,286.15,285.59,285.4,285.28,285.09,284.78
56119,305.59,287.71,286.15,285.59,285.34,285.34,285.09,284.78
56256,305.59,287.71,286.09,285.59,285.34,285.34,285.09,284.78
56393,305.53,287.71,286.09,285.59,285.34,285.28,285.09,284.78
56530,305.59,287.78,286.09,285.59,285.34,285.28,285.09,284.78
56668,305.59,287.78,286.09,285.59,285.28,285.34,285.09,284.78
56806,305.59,287.78,286.09,285.59,285.28,285.34,285.09,284.78
56943,305.59,287.78,286.09,285.59,285.34,285.28,285.09,284.78
57080,305.59,287.84,286.09,285.59,285.34,285.28,285.09,284.78
57218,305.59,287.84,286.09,285.59,285.34,285.28,285.09,284.78
57355,305.59,287.84,286.09,285.59,285.34,285.28,285.09,284.78
57492,305.59,287.9,286.09,285.59,285.34,285.28,285.09,284.78
57629,305.53,287.9,286.09,285.59,285.34,285.28,285.15,284.78
57767,305.53,287.84,286.09,285.59,285.34,285.28,285.15,284.78
57905,305.53,287.84,286.09,285.59,285.34,285.28,285.09,284.78
58042,305.53,287.9,286.03,285.53,285.34,285.28,285.09,284.78
58179,305.46,287.9,286.03,285.53,285.34,285.28,285.09,284.78
58316,305.53,287.9,286.09,285.65,285.34,285.28,285.09,284.78
58454,305.53,287.9,286.09,285.65,285.34,285.34,285.09,284.78
58592,305.53,287.9,286.09,285.59,285.34,285.34,285.09,284.78
58729,305.53,287.96,286.09,285.59,285.34,285.28,285.09,284.78
58866,305.46,287.96,286.09,285.59,285.34,285.28,285.09,284.71
59003,305.46,287.96,286.15,285.59,285.34,285.28,285.09,284.71
59141,305.53,287.96,286.15,285.59,285.34,285.28,285.09,284.78
59278,305.53,287.96,286.09,285.59,285.34,285.34,285.09,284.78
59415,305.46,287.96,286.09,285.59,285.34,285.28,285.15,284.71
59553,305.46,288.03,286.15,285.59,285.28,285.28,285.15,284.71
59691,305.46,288.03,286.15,285.59,285.28,285.34,285.09,284.71
59828,305.46,288.03,286.03,285.59,285.28,285.34,285.09,284.71
59965,305.46,288.03,286.03,285.59,285.28,285.28,285.09,284.71
60102,305.46,288.03,286.03,285.59,285.34,285.28,285.09,284.71
60239,305.46,288.09,286.09,285.59,285.34,285.28,285.09,284.78
60378,305.4,288.09,286.09,285.59,285.34,285.28,285.09,284.78
60515,305.4,288.09,286.09,285.53,285.28,285.28,285.09,284.78
60652,305.4,288.09,286.09,285.53,285.28,285.28,285.09,284.84
60789,305.4,288.09,286.03,285.53,285.28,285.34,285.09,284.84
60926,305.4,288.09,286.03,285.53,285.28,285.34,285.09,284.71
61064,305.4,288.03,286.09,285.59,285.34,285.28,285.09,284.71
61201,305.4,288.09,286.09,285.59,285.34,285.28,285.09,284.78
61339,305.4,288.09,286.09,285.59,285.34,285.28,285.15,284.78
61476,305.34,288.09,286.09,285.59,285.34,285.28,285.15,284.71
61614,305.34,288.09,286.09,285.53,285.28,285.34,285.03,284.71
61751,305.34,288.09,286.09,285.53,285.28,285.28,285.09,284.78
61888,305.34,288.09,286.09,285.53,285.28,285.28,285.09,284.78
62025,305.34,288.15,286.09,285.53,285.28,285.28,285.09,284.71
62163,305.34,288.15,286.09,285.59,285.28,285.28,285.09,284.71
62301,305.34,288.15,286.09,285.59,285.28,285.34,285.09,284.71
62438,305.34,288.15,286.09,285.53,285.28,285.34,285.09,284.78
62575,305.34,288.15,286.09,285.53,285.28,285.28,285.15,284.78
62712,305.28,288.21,286.09,285.53,285.28,285.28,285.15,284.78
62850,305.28,288.21,286.09,285.53,285.28,285.28,285.03,284.78
62988,305.28,288.21,286.09,285.53,285.28,285.28,285.03,284.78
63125,305.28,288.21,286.09,285.53,285.34,285.28,285.03,284.78
63262,305.28,288.21,286.03,285.53,285.34,285.28,285.03,284.71
63399,305.15,288.21,286.03,285.53,285.28,285.28,285.09,284.71
